error,category,name,url
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,surfertas/deep_learning,https://github.com/surfertas/deep_learning.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,CT83/Facial-Recognition-Attendance-System,https://github.com/CT83/Facial-Recognition-Attendance-System.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,hollance/YOLO-CoreML-MPSNNGraph,https://github.com/hollance/YOLO-CoreML-MPSNNGraph.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,YannDubs/disentangling-vae,https://github.com/YannDubs/disentangling-vae.git 
<urlopen error [Errno 11001] getaddrinfo failed>,No AI-ML,p4-team/ctf,https://github.com/p4-team/ctf.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,WICWIU/WICWIU,https://github.com/WICWIU/WICWIU.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,AndreFCruz/coref-web-platform,https://github.com/AndreFCruz/coref-web-platform.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,nyukat/breast_cancer_classifier,https://github.com/nyukat/breast_cancer_classifier.git 
<urlopen error [Errno 11001] getaddrinfo failed>,No AI-ML,reeze/tipi,https://github.com/reeze/tipi.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,allenai/scispacy,https://github.com/allenai/scispacy.git 
